eye_1,1110001100000000100011001000101100000010001000000011000000000010
eye_2,1110001000000000100010000000101000100010000000000011000000100010
eye_3,1011001000000000100011000000011010010010000100010010010000100100
eye_4,1011001000000001100011000001001010010000000100010110000001100110
eye_5,1110001100000000100010000000101100000000001000000010001100000010
eye_6,1110001000000000100010000000101000000010000000000011000000100010
eye_7,1011001100000000100001000000000010010010000110010010000100100100
eye_8,1011001100000000100001000000000010010010100110010010000100100100
eye_9,1110001101000000100011001000101101000000000000000010001100100000
eye_10,1110001000000000100010001000101100100000000000000010000000100010
eye_11,1011001101000000100001000000000010010010100110010010000100100110
eye_12,1011001100000000100001000000000010010010100110010000000100100100
